"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","590","TC02: Đăng nhập thất bại và hiển thị thông báo lỗi chính xác","chromium","2026-06-21","passed","2026-06-21","Bộ test kiểm thử tính năng đăng nhập SauceDemo","auth/login.spec.ts","",""
"","920","TC01: Đăng nhập và mua sản phẩm thành công","chromium","2026-06-21","passed","2026-06-21","Bộ test kiểm thử tính năng mua hàng SauceDemo","e2e/checkout.spec.ts","",""
"","870","TC01: Đăng nhập thành công với tài khoản hợp lệ","chromium","2026-06-21","passed","2026-06-21","Bộ test kiểm thử tính năng đăng nhập SauceDemo","auth/login.spec.ts","",""
