"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","642","TC02: Đăng nhập thất bại và hiển thị thông báo lỗi chính xác","chromium","2026-06-18","passed","2026-06-18","Bộ test kiểm thử tính năng đăng nhập SauceDemo","auth/login.spec.ts","",""
"","884","TC01: Đăng nhập thành công với tài khoản hợp lệ","chromium","2026-06-18","passed","2026-06-18","Bộ test kiểm thử tính năng đăng nhập SauceDemo","auth/login.spec.ts","",""
